Title;Date;Genre;Director;Starring;Watched
Green Book;2018;Biography/Comedy;Peter Farrelly;Viggo Mortensen, Mahershala Ali;NO
A Scanner Darkly;2006;Animation/Crime;Richard Linklater (Philip K. Dick);Keanu Reeves, Winona Ryder;NO
Ready Player One;2018;Sci-Fi;Steven Spielberg;Simon Pegg;YES
In Bruges;2008;Comedy/Crime;Martin McDonagh;Colin Farrell, Brandon Gleeson;NO
The Quiet American;2002;Romance/Thriller;Phillip Noyle;Michael Caine, Brendan Fraser;NO
The Judge;2014;Crime;David Dobkin;Robert Downey Jr., Robert Duvall;NO
The Caine Mutiny;1954;War;Edward Dmytryk;Humphrey Bogart, Lee Marvin;NO
The Killers;1964;Crime/Mystery;Don Siegel (Ernest Hemingway);Lee Marvin;NO
Prime Cut;1974;Action/Crime;Michael Ritchie;Lee Marvin, Sissy Spacek;NO
The Man Who Shot Liberty Valance;1962;Western;John Ford;John Wayne, Lee Marvin;NO
Cape Fear;1991;Crime/Thriller;Martin Scorsese;Robert De Niro, Nick Nolte;NO
Natural Born Killers;1994;Action/Crime;Oliver Stone;Woody Harrelson, Juliette Lewis;NO
Salvador;1986;History/Drama;Oliver Stone;James Woods, Jim Belushi;NO
Repo Man;1984;Action/Comedy;Alex Cox;Emilio Estevez, Harry Dean Stanton;NO
Straight Time;1978;Crime/Drama;Ulu Grosbard, Dustin Hoffmann;Dustin Hoffmann, Harry Dean Stanton;NO
